Villa Cortese comune,Villa Cortese comune.1
,
Villa Cortese – VedutaLa parrocchiale di San Vittore,Villa Cortese – VedutaLa parrocchiale di San Vittore
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Città metropolitana,Milano
Amministrazione,Amministrazione
Sindaco,Alessandro Barlocco (lista civica Insieme per Villa) dal 6-6-2016 (2º mandato dal 5-10-2021)
Territorio,Territorio
Coordinate,45°34′N 8°53′E
Altitudine,192 m s.l.m.
Superficie,"3,55 km²"
Abitanti,6 329[1] (30-11-2025)
Densità,"1 782,82 ab./km²"
Comuni confinanti,"Busto Garolfo, Dairago, Legnano, San Giorgio su Legnano"
Altre informazioni,Altre informazioni
Cod. postale,20035
Prefisso,0331
Fuso orario,UTC+1
Codice ISTAT,015248
Cod. catastale,L928
Targa,MI
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 617 GG[3]"
Nome abitanti,villacortesini
Patrono,san Vittore
Giorno festivo,8 maggio
Cartografia,Cartografia
Villa Cortese,Villa Cortese
Villa Cortese – MappaPosizione del comune di Villa Cortese nella città metropolitana di Milano,Villa Cortese – MappaPosizione del comune di Villa Cortese nella città metropolitana di Milano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
