Cassina de' Pecchi comune,Cassina de' Pecchi comune.1
,
Cassina de' Pecchi – VedutaSant'Agata Martesana di Cassina de' Pecchi,Cassina de' Pecchi – VedutaSant'Agata Martesana di Cassina de' Pecchi
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Città metropolitana,Milano
Amministrazione,Amministrazione
Sindaco,Elisa Balconi (Lega Nord) dal 26-5-2019 (2º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,45°31′N 9°22′E
Altitudine,130 m s.l.m.
Superficie,"7,21 km²"
Abitanti,13 944[1] (30-11-2025)
Densità,"1 933,98 ab./km²"
Frazioni,"Camporicco, Colombirolo, Sant'Agata Martesana, Villa Magri,Villa Quiete, Quartiere Aurelia"
Comuni confinanti,"Bussero, Cernusco sul Naviglio, Gorgonzola, Melzo, Vignate"
Altre informazioni,Altre informazioni
Cod. postale,20051
Prefisso,02
Fuso orario,UTC+1
Codice ISTAT,015060
Cod. catastale,C014
Targa,MI
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 404 GG[3]"
Nome abitanti,"cassinesi, cas(s)inisti"
Patrono,Santa Maria Ausiliatrice
Giorno festivo,24 maggio
Cartografia,Cartografia
Cassina de' Pecchi,Cassina de' Pecchi
Cassina de' Pecchi – MappaPosizione del comune di Cassina de' Pecchi nella città metropolitana di Milano,Cassina de' Pecchi – MappaPosizione del comune di Cassina de' Pecchi nella città metropolitana di Milano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
