Rozzano comune,Rozzano comune.1
,
Rozzano – VedutaQuartiere IACP viale Don Angelo Lonni,Rozzano – VedutaQuartiere IACP viale Don Angelo Lonni
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Città metropolitana,Milano
Amministrazione,Amministrazione
Sindaco,Mattia Ferretti (centro-destra) dal 6-6-2025
Territorio,Territorio
Coordinate,45°23′N 9°09′E
Altitudine,103 m s.l.m.
Superficie,"12,24 km²"
Abitanti,41 663[1] (30-11-2025)
Densità,"3 403,84 ab./km²"
Frazioni,"Cassino Scanasio, Pontesesto, Quinto de' Stampi, Torriggio"
Comuni confinanti,"Assago, Basiglio, Milano, Opera, Pieve Emanuele, Zibido San Giacomo"
Altre informazioni,Altre informazioni
Cod. postale,20089
Prefisso,02
Fuso orario,UTC+1
Codice ISTAT,015189
Cod. catastale,H623
Targa,MI
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 404 GG[3]"
Nome abitanti,rozzanesi
Cartografia,Cartografia
Rozzano,Rozzano
Rozzano – MappaPosizione del comune di Rozzano all'interno della città metropolitana di Milano,Rozzano – MappaPosizione del comune di Rozzano all'interno della città metropolitana di Milano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
