Bubbiano comune,Bubbiano comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Città metropolitana,Milano
Amministrazione,Amministrazione
Sindaco,Alessandro Montonati (Uniti per Bubbiano) dal 10-6-2024
Territorio,Territorio
Coordinate,45°19′38.13″N 9°00′54.35″E
Altitudine,106 m s.l.m.
Superficie,"2,95 km²"
Abitanti,2 443[1] (30-11-2025)
Densità,"828,14 ab./km²"
Comuni confinanti,"Calvignasco, Casorate Primo (PV), Morimondo, Rosate"
Altre informazioni,Altre informazioni
Cod. postale,20080
Prefisso,02
Fuso orario,UTC+1
Codice ISTAT,015035
Cod. catastale,B235
Targa,MI
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 514 GG[3]"
Nome abitanti,bubbianesi
Patrono,"santi Eugenio, Fermo, Luciano, Severiano"
Giorno festivo,ultima domenica di agosto
Cartografia,Cartografia
Bubbiano,Bubbiano
Bubbiano – MappaPosizione del comune di Bubbiano nella città metropolitana di Milano,Bubbiano – MappaPosizione del comune di Bubbiano nella città metropolitana di Milano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
