Vimodrone comune,Vimodrone comune.1
,
Vimodrone – VedutaPiazza Unità d'Italia,Vimodrone – VedutaPiazza Unità d'Italia
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Città metropolitana,Milano
Amministrazione,Amministrazione
Sindaco,Dario Veneroni (lista civica di centro-sinistra Vimodrone sei tu) dal 25-6-2017 (2º mandato dal 12-6-2022)
Territorio,Territorio
Coordinate,45°30′50″N 9°17′04″E
Altitudine,128 m s.l.m.
Superficie,"4,78 km²"
Abitanti,16 940[1] (30-11-2025)
Densità,"3 543,93 ab./km²"
Frazioni,Cascina Burrona (Vimodrone)
Comuni confinanti,"Cernusco sul Naviglio, Cologno Monzese, Milano, Pioltello, Segrate"
Altre informazioni,Altre informazioni
Cod. postale,20055
Prefisso,02
Fuso orario,UTC+1
Codice ISTAT,015242
Cod. catastale,M053
Targa,MI
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 404 GG[3]"
Nome abitanti,vimodronesi
Patrono,san Remigio
Giorno festivo,13 gennaio
Cartografia,Cartografia
Vimodrone,Vimodrone
Vimodrone – MappaPosizione del comune di Vimodrone nella città metropolitana di Milano,Vimodrone – MappaPosizione del comune di Vimodrone nella città metropolitana di Milano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
