Senago comune,Senago comune.1
,
Senago – VedutaVilla San Carlo Borromeo,Senago – VedutaVilla San Carlo Borromeo
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Città metropolitana,Milano
Amministrazione,Amministrazione
Sindaco,Magda Beretta (LSP) dal 25-6-2017 (2º mandato dal 13-6-2022)
Territorio,Territorio
Coordinate,45°35′N 9°08′E
Altitudine,169 m s.l.m.
Superficie,"8,6 km²"
Abitanti,21 754[1] (30-11-2025)
Densità,"2 529,53 ab./km²"
Frazioni,"Castelletto, Lazzaretto, Senaghino, Villaggio Gaggiolo, Mascagni"
Comuni confinanti,"Bollate, Cesate, Garbagnate Milanese, Limbiate (MB), Paderno Dugnano"
Altre informazioni,Altre informazioni
Cod. postale,20030
Prefisso,02
Fuso orario,UTC+1
Codice ISTAT,015206
Cod. catastale,I602
Targa,MI
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 485 GG[3]"
Nome abitanti,senaghesi
Patrono,Santa Maria Assunta
Cartografia,Cartografia
Senago,Senago
Senago – MappaPosizione del comune di Senago all'interno della città metropolitana di Milano,Senago – MappaPosizione del comune di Senago all'interno della città metropolitana di Milano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
