Dresano comune,Dresano comune.1
,
Dresano – Veduta,Dresano – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Città metropolitana,Milano
Amministrazione,Amministrazione
Sindaco,Nicola Infante (lista civica) dal 12-6-2022
Territorio,Territorio
Coordinate,45°22′N 9°22′E
Altitudine,91 m s.l.m.
Superficie,"3,48 km²"
Abitanti,3 078[1] (30-11-2025)
Densità,"884,48 ab./km²"
Comuni confinanti,"Casalmaiocco (LO), Colturano, Mediglia, Mulazzano (LO), Tribiano, Vizzolo Predabissi"
Altre informazioni,Altre informazioni
Cod. postale,20070
Prefisso,02
Fuso orario,UTC+1
Codice ISTAT,015101
Cod. catastale,D367
Targa,MI
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 557 GG[3]"
Nome abitanti,dresanesi
Cartografia,Cartografia
Dresano,Dresano
Dresano – MappaPosizione del comune di Dresano nella città metropolitana di Milano,Dresano – MappaPosizione del comune di Dresano nella città metropolitana di Milano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
