Inzago comune,Inzago comune.1
,
Inzago – VedutaIl Naviglio Martesana attraversa il paese,Inzago – VedutaIl Naviglio Martesana attraversa il paese
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Città metropolitana,Milano
Amministrazione,Amministrazione
Sindaco,Andrea Fumagalli (Lega Nord e lista civica) dal 6-6-2016 (2º mandato dal 3-10-2021)
Territorio,Territorio
Coordinate,45°32′27.24″N 9°28′56.68″E
Altitudine,137 m s.l.m.
Superficie,"12,21 km²"
Abitanti,11 447[1] (30-11-2025)
Densità,"937,51 ab./km²"
Comuni confinanti,"Bellinzago Lombardo, Cassano d'Adda, Gessate, Masate, Pozzo d'Adda, Pozzuolo Martesana"
Altre informazioni,Altre informazioni
Cod. postale,20065
Prefisso,02
Fuso orario,UTC+1
Codice ISTAT,015114
Cod. catastale,E317
Targa,MI
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 416 GG[3]"
Nome abitanti,inzaghesi
Patrono,Santa Maria Assunta
Giorno festivo,2ª domenica di ottobre
Cartografia,Cartografia
Inzago,Inzago
Inzago – MappaPosizione del comune di Inzago nella città metropolitana di Milano,Inzago – MappaPosizione del comune di Inzago nella città metropolitana di Milano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
