Rescaldina comune,Rescaldina comune.1
,
Rescaldina – VedutaLa Piazza della Chiesa e il palazzo comunale,Rescaldina – VedutaLa Piazza della Chiesa e il palazzo comunale
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Città metropolitana,Milano
Amministrazione,Amministrazione
Sindaco,"Gilles André Ielo (Vivere Rescaldina, centro-sinistra) dal 27-5-2019 (2º mandato dal 10-06-2024)"
Data di istituzione,anno 1798[1][2]
Territorio,Territorio
Coordinate,45°37′N 8°57′E
Altitudine,225 m s.l.m.
Superficie,"8,03 km²"
Abitanti,14 361[3] (30-11-2025)
Densità,"1 788,42 ab./km²"
Frazioni,Rescalda
Comuni confinanti,"Castellanza (VA), Cerro Maggiore, Cislago (VA), Gerenzano (VA), Gorla Minore (VA), Legnano, Marnate (VA), Uboldo (VA)"
Altre informazioni,Altre informazioni
Cod. postale,20027
Prefisso,0331
Fuso orario,UTC+1
Codice ISTAT,015181
Cod. catastale,H240
Targa,MI
Cl. sismica,zona 4 (sismicità molto bassa)[4]
Cl. climatica,"zona E, 2 480 GG[5]"
Nome abitanti,rescaldinesi
Patrono,san Bernardo abate
Giorno festivo,20 agosto
PIL procapite,(nominale) 24 507 € (2022)[6]
Cartografia,Cartografia
Rescaldina,Rescaldina
Rescaldina – MappaPosizione del comune di Rescaldina nella città metropolitana di Milano,Rescaldina – MappaPosizione del comune di Rescaldina nella città metropolitana di Milano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
