Carpiano comune,Carpiano comune.1
,
Carpiano – Veduta,Carpiano – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Città metropolitana,Milano
Amministrazione,Amministrazione
Sindaco,Loris Carmagnani (ViviCarpiano) dal 10-06-2024
Territorio,Territorio
Coordinate,45°20′N 9°16′E
Altitudine,91 m s.l.m.
Superficie,"17,24 km²"
Abitanti,4 109[1] (30-11-2025)
Densità,"238,34 ab./km²"
Frazioni,"Arcagnago, Draghetto, Francolino, Ortigherio, Zunico"
Comuni confinanti,"Bascapè (PV), Cerro al Lambro, Landriano (PV), Locate di Triulzi, Melegnano, San Giuliano Milanese, Siziano (PV)"
Altre informazioni,Altre informazioni
Cod. postale,20074
Prefisso,02
Fuso orario,UTC+1
Codice ISTAT,015050
Cod. catastale,B820
Targa,MI
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 557 GG[3]"
Nome abitanti,carpianesi
Patrono,san Martino e santa Maria Maddalena
Cartografia,Cartografia
Carpiano,Carpiano
Carpiano – MappaPosizione del comune di Carpiano nella città metropolitana di Milano,Carpiano – MappaPosizione del comune di Carpiano nella città metropolitana di Milano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
