Casarile comune,Casarile comune.1
,
Casarile – VedutaIl Navigliaccio lambisce il centro abitato,Casarile – VedutaIl Navigliaccio lambisce il centro abitato
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Città metropolitana,Milano
Amministrazione,Amministrazione
Sindaco,Silvana Cantoro (lista civica Casarile insieme) dal 27-6-2019 (2º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,45°19′N 9°06′E
Altitudine,97 m s.l.m.
Superficie,"7,33 km²"
Abitanti,3 942[1] (30-11-2025)
Densità,"537,79 ab./km²"
Frazioni,"San Rocco, Zavanasco"
Comuni confinanti,"Binasco, Giussago (PV), Lacchiarella, Rognano (PV), Vernate"
Altre informazioni,Altre informazioni
Cod. postale,20059
Prefisso,02
Fuso orario,UTC+1
Codice ISTAT,015055
Cod. catastale,B938
Targa,MI
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 439 GG[3]"
Nome abitanti,casarilesi
Patrono,san Biagio
Cartografia,Cartografia
Casarile,Casarile
Casarile – MappaPosizione del comune di Casarile nella città metropolitana di Milano,Casarile – MappaPosizione del comune di Casarile nella città metropolitana di Milano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
