Opera comune,Opera comune.1
,
Opera – VedutaL'Abbazia di Mirasole,Opera – VedutaL'Abbazia di Mirasole
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Città metropolitana,Milano
Amministrazione,Amministrazione
Sindaco,Ettore Fusco (Centrodestra Opera) dal 26-05-2025
Territorio,Territorio
Coordinate,45°23′N 9°13′E
Altitudine,99 m s.l.m.
Superficie,"7,64 km²"
Abitanti,14 453[1] (30-11-2025)
Densità,"1 891,75 ab./km²"
Frazioni,Noverasco
Comuni confinanti,"Locate di Triulzi, Milano, Pieve Emanuele, Rozzano, San Donato Milanese"
Altre informazioni,Altre informazioni
Cod. postale,20073
Prefisso,02
Fuso orario,UTC+1
Codice ISTAT,015159
Cod. catastale,G078
Targa,MI
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 404 GG[3]"
Nome abitanti,operesi
Patrono,san Pietro e san Paolo
Giorno festivo,29 giugno
Cartografia,Cartografia
Opera,Opera
Opera – MappaPosizione del comune di Opera all'interno della città metropolitana di Milano,Opera – MappaPosizione del comune di Opera all'interno della città metropolitana di Milano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
