Robecchetto con Induno comune,Robecchetto con Induno comune.1
,
Robecchetto con Induno – Veduta,Robecchetto con Induno – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Città metropolitana,Milano
Amministrazione,Amministrazione
Sindaco,Sabrina Pane (commissario prefettizio) dal 03-04-2024
Territorio,Territorio
Coordinate,45°32′N 8°46′E
Altitudine,172 m s.l.m.
Superficie,"13,93 km²"
Abitanti,4 826[1] (30-11-2025)
Densità,"346,45 ab./km²"
Frazioni,"Malvaglio, Induno"
Comuni confinanti,"Castano Primo, Cuggiono, Galliate (NO), Turbigo"
Altre informazioni,Altre informazioni
Cod. postale,20020
Prefisso,0331
Fuso orario,UTC+1
Codice ISTAT,015183
Cod. catastale,H371
Targa,MI
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 673 GG[3]"
Nome abitanti,robecchettesi
Cartografia,Cartografia
Robecchetto con Induno,Robecchetto con Induno
Robecchetto con Induno – MappaPosizione del comune di Robecchetto con Induno nella città metropolitana di Milano,Robecchetto con Induno – MappaPosizione del comune di Robecchetto con Induno nella città metropolitana di Milano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
