Busto Garolfo comune,Busto Garolfo comune.1
,
Busto Garolfo – VedutaPalazzo Molteni,Busto Garolfo – VedutaPalazzo Molteni
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Città metropolitana,Milano
Amministrazione,Amministrazione
Sindaco,Giovanni Rigiroli (lista civica Busto Garolfo paese amico) dal 10-6-2024
Territorio,Territorio
Coordinate,45°32′52″N 8°53′12″E
Altitudine,180 m s.l.m.
Superficie,"12,99 km²"
Abitanti,14 106[1] (30-11-2025)
Densità,"1 085,91 ab./km²"
Frazioni,Olcella
Comuni confinanti,"Arconate, Canegrate, Casorezzo, Dairago, Inveruno, Parabiago, San Giorgio su Legnano, Villa Cortese"
Altre informazioni,Altre informazioni
Cod. postale,20020 e 20038
Prefisso,0331
Fuso orario,UTC+1
Codice ISTAT,015041
Cod. catastale,B301
Targa,MI
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 470 GG[3]"
Nome abitanti,bustesi[4]
Patrono,"Beata Vergine del Rosario, Santa Croce (prima domenica di maggio) e Santa Margherita di Antiochia (prima domenica di luglio)"
Giorno festivo,primo lunedì di ottobre Beata Vergine del Rosario
Cartografia,Cartografia
Busto Garolfo,Busto Garolfo
Busto Garolfo – MappaPosizione del comune di Busto Garolfo nella città metropolitana di Milano,Busto Garolfo – MappaPosizione del comune di Busto Garolfo nella città metropolitana di Milano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
