Canegrate comune,Canegrate comune.1
,
Canegrate – VedutaPalazzo Visconti-Castelli,Canegrate – VedutaPalazzo Visconti-Castelli
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Città metropolitana,Milano
Amministrazione,Amministrazione
Sindaco,Matteo Modica (lista civica di centro-sinistra) dal 12-6-2022
Territorio,Territorio
Coordinate,45°34′N 8°56′E
Altitudine,196 m s.l.m.
Superficie,"5,25[1] km²"
Abitanti,12 889[2] (30-11-2025)
Densità,"2 455,05 ab./km²"
Comuni confinanti,"Busto Garolfo, Legnano, Parabiago, San Giorgio su Legnano, San Vittore Olona"
Altre informazioni,Altre informazioni
Cod. postale,20039 e 20010
Prefisso,0331
Fuso orario,UTC+1
Codice ISTAT,015046
Cod. catastale,B593
Targa,MI
Cl. sismica,zona 4 (sismicità molto bassa)[3]
Cl. climatica,"zona E, 2 617 GG[4]"
Nome abitanti,canegratesi
Patrono,santa Maria Assunta e san Rocco
Giorno festivo,16 agosto (san Rocco)
Cartografia,Cartografia
Canegrate,Canegrate
Canegrate – MappaPosizione del comune di Canegrate all'interno della città metropolitana di Milano,Canegrate – MappaPosizione del comune di Canegrate all'interno della città metropolitana di Milano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
