Noviglio comune,Noviglio comune.1
,
Noviglio – VedutaChiesa di San Michele Arcangelo,Noviglio – VedutaChiesa di San Michele Arcangelo
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Città metropolitana,Milano
Amministrazione,Amministrazione
Sindaco,Javier Miera (lista civica) dal 12-6-2022
Territorio,Territorio
Coordinate,45°22′N 9°03′E
Altitudine,103 m s.l.m.
Superficie,"15,86 km²"
Abitanti,4 556[1] (30-11-2025)
Densità,"287,26 ab./km²"
Frazioni,"Copiago, Conigo, Mairano, Tainate"
Comuni confinanti,"Binasco, Gaggiano, Rosate, Vernate, Zibido San Giacomo"
Altre informazioni,Altre informazioni
Cod. postale,20082
Prefisso,02
Fuso orario,UTC+1
Codice ISTAT,015158
Cod. catastale,F968
Targa,MI
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 514 GG[3]"
Nome abitanti,novigliesi
Patrono,san Sebastiano
Cartografia,Cartografia
Noviglio,Noviglio
Noviglio – MappaPosizione del comune di Noviglio nella città metropolitana di Milano,Noviglio – MappaPosizione del comune di Noviglio nella città metropolitana di Milano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
