Cassano d'Adda comune,Cassano d'Adda comune.1
,
Cassano d'Adda – VedutaIl castello visto dall’Adda,Cassano d'Adda – VedutaIl castello visto dall’Adda
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Città metropolitana,Milano
Amministrazione,Amministrazione
Sindaco,Fabio Colombo (LSP) dal 3-10-2021
Territorio,Territorio
Coordinate,45°31′32.3″N 9°31′15.28″E
Altitudine,133 m s.l.m.
Superficie,"18,6 km²"
Abitanti,19 964[1] (30-11-2025)
Densità,"1 073,33 ab./km²"
Frazioni,"Cascine San Pietro, Groppello d'Adda, Taranta, Cascate, Cascina Romilli, Cascina Moneta, Cascina Casotta, Cascina Rossa"
Comuni confinanti,"Casirate d'Adda (BG), Fara Gera d'Adda (BG), Inzago, Pozzo d'Adda, Pozzuolo Martesana, Rivolta d'Adda (CR), Treviglio (BG), Truccazzano, Vaprio d'Adda"
Altre informazioni,Altre informazioni
Cod. postale,20062
Prefisso,0363
Fuso orario,UTC+1
Codice ISTAT,015059
Cod. catastale,C003
Targa,MI
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 536 GG[3]"
Nome abitanti,cassanesi
Patrono,santa Maria Immacolata e san Zeno
Giorno festivo,1ª domenica di ottobre
Cartografia,Cartografia
Cassano d'Adda,Cassano d'Adda
Cassano d'Adda – MappaPosizione del comune di Cassano d'Adda nella città metropolitana di Milano,Cassano d'Adda – MappaPosizione del comune di Cassano d'Adda nella città metropolitana di Milano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
