Besate comune,Besate comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Città metropolitana,Milano
Amministrazione,Amministrazione
Sindaco,Dario Codegoni (lista civica Besate futura) dal 9-6-2024
Territorio,Territorio
Coordinate,45°19′N 8°58′E
Altitudine,104 m s.l.m.
Superficie,"12,74 km²"
Abitanti,2 054[1] (30-11-2025)
Densità,"161,22 ab./km²"
Frazioni,"Cascina Caremma, Cascina Cantarana, Cascina Molinotto, Cascinetta, Lido, Molino Peschiera"
Comuni confinanti,"Vigevano (PV), Casorate Primo (PV), Morimondo, Motta Visconti"
Altre informazioni,Altre informazioni
Cod. postale,20080
Prefisso,02
Fuso orario,UTC+1
Codice ISTAT,015022
Cod. catastale,A820
Targa,MI
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 619 GG[3]"
Nome abitanti,besatesi
Patrono,san Michele
Giorno festivo,prima domenica di settembre
Cartografia,Cartografia
Besate,Besate
Besate – MappaPosizione del comune di Besate nella città metropolitana di Milano,Besate – MappaPosizione del comune di Besate nella città metropolitana di Milano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
