Assago comune,Assago comune.1
,
Assago – Veduta,Assago – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Città metropolitana,Milano
Amministrazione,Amministrazione
Sindaco,Graziano Musella (lista civica Insieme per il futuro) dal 9-6-2024
Territorio,Territorio
Coordinate,45°24′N 9°08′E
Altitudine,109 m s.l.m.
Superficie,"8,05 km²"
Abitanti,9 356[1] (30-11-2025)
Densità,"1 162,24 ab./km²"
Frazioni,"Bazzana Sant'Ilario, Bazzanella, Cascina Venina, Milanofiori"
Comuni confinanti,"Buccinasco, Milano, Rozzano, Zibido San Giacomo"
Altre informazioni,Altre informazioni
Cod. postale,20057
Prefisso,02
Fuso orario,UTC+1
Codice ISTAT,015011
Cod. catastale,A473
Targa,MI
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 404 GG[3]"
Nome abitanti,assaghesi
Patrono,san Desiderio
Giorno festivo,23 maggio
Cartografia,Cartografia
Assago,Assago
Assago – MappaPosizione del comune di Assago all'interno della città metropolitana di Milano,Assago – MappaPosizione del comune di Assago all'interno della città metropolitana di Milano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
