Basiano comune,Basiano comune.1
,
Basiano – VedutaVeduta,Basiano – VedutaVeduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Città metropolitana,Milano
Amministrazione,Amministrazione
Sindaco,Stefania Solcia (lista civica Insieme per Basiano) dal 9-6-2024
Territorio,Territorio
Coordinate,45°34′30″N 9°28′10″E
Altitudine,161 024&lingua=ita Dato Istat - Popolazione residente al 31 agosto 2 024 (dato provvisorio). m s.l.m.
Superficie,"4,59 km²"
Abitanti,3 649[1] (30-11-2025)
Densità,"794,99 ab./km²"
Frazioni,Cascina Castellazzo
Comuni confinanti,"Cambiago, Cavenago di Brianza (MB), Masate, Ornago (MB), Pozzo d'Adda, Roncello (MB), Trezzano Rosa"
Altre informazioni,Altre informazioni
Cod. postale,20060
Prefisso,02
Fuso orario,UTC+1
Codice ISTAT,015014
Cod. catastale,A697
Targa,MI
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 416 GG[3]"
Nome abitanti,basianesi
Patrono,san Gregorio Magno
Giorno festivo,Seconda domenica di settembre
Cartografia,Cartografia
Basiano,Basiano
Basiano – MappaPosizione del comune di Basiano nella città metropolitana di Milano,Basiano – MappaPosizione del comune di Basiano nella città metropolitana di Milano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
