San Vittore Olona comune,San Vittore Olona comune.1
,
San Vittore Olona – Veduta,San Vittore Olona – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Città metropolitana,Milano
Amministrazione,Amministrazione
Sindaco,Marco Zerboni (centro-destra) dal 9-6-2024
Territorio,Territorio
Coordinate,45°35′N 8°56′E
Altitudine,197 m s.l.m.
Superficie,"3,49 km²"
Abitanti,8 472[1] (30-11-2025)
Densità,"2 427,51 ab./km²"
Comuni confinanti,"Canegrate, Cerro Maggiore, Legnano, Parabiago"
Altre informazioni,Altre informazioni
Cod. postale,20028
Prefisso,0331
Fuso orario,UTC+1
Codice ISTAT,015201
Cod. catastale,I409
Targa,MI
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 448 GG[3]"
Nome abitanti,sanvittoresi
Patrono,san Vittore
Cartografia,Cartografia
San Vittore Olona,San Vittore Olona
San Vittore Olona – MappaPosizione del comune di San Vittore Olona nella città metropolitana di Milano,San Vittore Olona – MappaPosizione del comune di San Vittore Olona nella città metropolitana di Milano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
