Cusano Milanino comune,Cusano Milanino comune.1
,
"Cusano Milanino – VedutaVia Sormani, angolo Via Marconi di Cusano Milanino","Cusano Milanino – VedutaVia Sormani, angolo Via Marconi di Cusano Milanino"
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Città metropolitana,Milano
Amministrazione,Amministrazione
Sindaco,Carla Pessina (centro-sinistra) dal 24-6-2024
Territorio,Territorio
Coordinate,45°33′N 9°11′E
Altitudine,152 m s.l.m.
Superficie,"3,08 km²"
Abitanti,19 002[1] (30-11-2025)
Densità,"6 169,48 ab./km²"
Frazioni,Milanino
Comuni confinanti,"Bresso, Cinisello Balsamo, Cormano, Paderno Dugnano"
Altre informazioni,Altre informazioni
Cod. postale,20095
Prefisso,02
Fuso orario,UTC+1
Codice ISTAT,015098
Cod. catastale,D231
Targa,MI
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 404 GG[3]"
Nome abitanti,cusanesi
Patrono,san Martino
Giorno festivo,11 novembre
Cartografia,Cartografia
Cusano Milanino,Cusano Milanino
Cusano Milanino – MappaPosizione del comune di Cusano Milanino all'interno della città metropolitana di Milano,Cusano Milanino – MappaPosizione del comune di Cusano Milanino all'interno della città metropolitana di Milano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
