Cassinetta di Lugagnano comune,Cassinetta di Lugagnano comune.1
,
Cassinetta di Lugagnano – VedutaLa statua di San Carlo Borromeo e Villa Visconti Maineri a Cassinetta di Lugagnano,Cassinetta di Lugagnano – VedutaLa statua di San Carlo Borromeo e Villa Visconti Maineri a Cassinetta di Lugagnano
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Città metropolitana,Milano
Amministrazione,Amministrazione
Sindaco,Domenico Finiguerra (lista civica Sinistra ecologista) dal 5-10-2021
Territorio,Territorio
Coordinate,45°25′27″N 8°54′31″E
Altitudine,125 m s.l.m.
Superficie,"3,32 km²"
Abitanti,1 969[1] (30-11-2025)
Densità,"593,07 ab./km²"
Comuni confinanti,"Abbiategrasso, Albairate, Corbetta, Robecco sul Naviglio"
Altre informazioni,Altre informazioni
Cod. postale,20081
Prefisso,02
Fuso orario,UTC+1
Codice ISTAT,015061
Cod. catastale,C033
Targa,MI
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 532 GG[3]"
Nome abitanti,cassinettesi
Patrono,sant'Antonio abate
Giorno festivo,17 gennaio
Cartografia,Cartografia
Cassinetta di Lugagnano,Cassinetta di Lugagnano
Cassinetta di Lugagnano – MappaPosizione del comune di Cassinetta di Lugagnano nella città metropolitana di Milano,Cassinetta di Lugagnano – MappaPosizione del comune di Cassinetta di Lugagnano nella città metropolitana di Milano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
