Cinisello Balsamo comune,Cinisello Balsamo comune.1
,
Cinisello Balsamo – VedutaVia Frova con la chiesa di Sant'Ambrogio,Cinisello Balsamo – VedutaVia Frova con la chiesa di Sant'Ambrogio
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Città metropolitana,Milano
Amministrazione,Amministrazione
Sindaco,Giacomo Giovanni Ghilardi (indipendente di centro-destra) dal 25-6-2018 (2º mandato dal 14-5-2023)
Territorio,Territorio
Coordinate,45°33′N 9°13′E
Altitudine,154 m s.l.m.
Superficie,"12,72 km²"
Abitanti,75 177[1] (30-11-2025)
Densità,"5 910,14 ab./km²"
Frazioni,"Cinisello, Balsamo, Bellaria, Bettola, Cornaggia, Crocetta, Nigozza, Robecco, Sant'Eusebio, Villa Rachele, Borgo Misto, Campo dei Fiori"
Comuni confinanti,"Bresso, Cusano Milanino, Monza (MB), Muggiò (MB), Nova Milanese (MB), Paderno Dugnano, Sesto San Giovanni"
Altre informazioni,Altre informazioni
Cod. postale,20092
Prefisso,02
Fuso orario,UTC+1
Codice ISTAT,015077
Cod. catastale,C707
Targa,MI
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 404 GG[3]"
Nome abitanti,cinisellesi
Patrono,sant'Ambrogio
Giorno festivo,7 dicembre
Cartografia,Cartografia
Cinisello Balsamo,Cinisello Balsamo
Cinisello Balsamo – MappaPosizione del comune di Cinisello Balsamo all'interno della città metropolitana di Milano,Cinisello Balsamo – MappaPosizione del comune di Cinisello Balsamo all'interno della città metropolitana di Milano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
