Bernate Ticino comune,Bernate Ticino comune.1
,
Bernate Ticino – VedutaLa chiesa e la canonica di Bernate Ticino,Bernate Ticino – VedutaLa chiesa e la canonica di Bernate Ticino
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Città metropolitana,Milano
Amministrazione,Amministrazione
Sindaco,Alessio Ottolini (lista civica un Passo in Avanti) dal 10-6-2024
Territorio,Territorio
Coordinate,45°29′N 8°49′E
Altitudine,130 m s.l.m.
Superficie,"12,16 km²"
Abitanti,2 918[1] (30-11-2025)
Densità,"239,97 ab./km²"
Frazioni,Casate[2] Località: Rubone
Comuni confinanti,"Boffalora sopra Ticino, Cuggiono, Galliate (NO), Marcallo con Casone, Mesero, Romentino (NO), Trecate (NO)"
Altre informazioni,Altre informazioni
Cod. postale,20010
Prefisso,02
Fuso orario,UTC+1
Codice ISTAT,015019
Cod. catastale,A804
Targa,MI
Cl. sismica,zona 4 (sismicità molto bassa)[3]
Cl. climatica,"zona E, 2 673 GG[4]"
Nome abitanti,bernatesi
Patrono,san Giorgio
Cartografia,Cartografia
Bernate Ticino,Bernate Ticino
Bernate Ticino – MappaPosizione del comune di Bernate Ticino nella città metropolitana di Milano,Bernate Ticino – MappaPosizione del comune di Bernate Ticino nella città metropolitana di Milano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
