Masate comune,Masate comune.1
,
Masate – VedutaPiazza della Repubblica,Masate – VedutaPiazza della Repubblica
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Città metropolitana,Milano
Amministrazione,Amministrazione
Sindaco,Pamela Tumiati (lista civica) dal 26-5-2019 (2º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,45°34′03.5″N 9°27′52.09″E
Altitudine,153 m s.l.m.
Superficie,"4,39 km²"
Abitanti,3 925[1] (30-11-2025)
Densità,"894,08 ab./km²"
Comuni confinanti,"Basiano, Cambiago, Gessate, Inzago, Pozzo d'Adda"
Altre informazioni,Altre informazioni
Cod. postale,20060
Prefisso,02
Fuso orario,UTC+1
Codice ISTAT,015136
Cod. catastale,F003
Targa,MI
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 416 GG[3]"
Nome abitanti,masatesi
Patrono,san Giovanni Evangelista
Giorno festivo,prima domenica di maggio
Cartografia,Cartografia
Masate,Masate
Masate – MappaPosizione del comune di Masate nella città metropolitana di Milano,Masate – MappaPosizione del comune di Masate nella città metropolitana di Milano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
