Sedriano comune,Sedriano comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Città metropolitana,Milano
Amministrazione,Amministrazione
Sindaco,Marco Re (lista civica) dal 4-10-2021
Territorio,Territorio
Coordinate,45°29′N 8°58′E
Altitudine,145 m s.l.m.
Superficie,"7,75 km²"
Abitanti,13 073[1] (30-11-2025)
Densità,"1 686,84 ab./km²"
Frazioni,Roveda
Comuni confinanti,"Arluno, Bareggio, Cisliano, Pregnana Milanese, Vanzago, Vittuone"
Altre informazioni,Altre informazioni
Lingue,Italiano
Cod. postale,20018
Prefisso,02
Fuso orario,UTC+1
Codice ISTAT,015204
Cod. catastale,I566
Targa,MI
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 631 GG[3]"
Nome abitanti,sedrianesi
Patrono,san Remigio
Giorno festivo,seconda domenica di ottobre
Cartografia,Cartografia
Sedriano,Sedriano
Sedriano – MappaPosizione del comune di Sedriano nella città metropolitana di Milano,Sedriano – MappaPosizione del comune di Sedriano nella città metropolitana di Milano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
