Casorezzo comune,Casorezzo comune.1
,
Casorezzo – VedutaUna delle chiese di Casorezzo,Casorezzo – VedutaUna delle chiese di Casorezzo
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Città metropolitana,Milano
Amministrazione,Amministrazione
Sindaco,Rosella Giola (lista civica La bottega del domani) dal 9-6-2024
Territorio,Territorio
Coordinate,45°31′N 8°54′E
Altitudine,166 m s.l.m.
Superficie,"6,6 km²"
Abitanti,5 706[1] (30-11-2025)
Densità,"864,55 ab./km²"
Comuni confinanti,"Arluno, Busto Garolfo, Inveruno, Ossona, Parabiago"
Altre informazioni,Altre informazioni
Cod. postale,20010 e 20003
Prefisso,02
Fuso orario,UTC+1
Codice ISTAT,015058
Cod. catastale,B989
Targa,MI
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 656 GG[3]"
Nome abitanti,casorezzesi
Patrono,san Giorgio
Giorno festivo,23 aprile
Cartografia,Cartografia
Casorezzo,Casorezzo
Casorezzo – MappaPosizione del comune di Casorezzo nella città metropolitana di Milano,Casorezzo – MappaPosizione del comune di Casorezzo nella città metropolitana di Milano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
