Paullo comune,Paullo comune.1
,
Paullo – Veduta,Paullo – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Città metropolitana,Milano
Amministrazione,Amministrazione
Sindaco,Luigi Gianolli (lista civica) dal 10-6-2024
Territorio,Territorio
Coordinate,45°25′N 9°24′E
Altitudine,97 m s.l.m.
Superficie,"8,82 km²"
Abitanti,11 153[1] (30-11-2025)
Densità,"1 264,51 ab./km²"
Frazioni,"Conterico, Cascina Inzogo, Tombona, Ronco, Bentivoglio, Linate, Cossago, Cossaghetto, Villambrera, Fornace, Sant'Antonio, Casello, Gere, Cascina Nuova"
Comuni confinanti,"Merlino (LO), Zelo Buon Persico (LO), Settala, Mediglia, Tribiano, Mulazzano (LO)"
Altre informazioni,Altre informazioni
Cod. postale,20067
Prefisso,02
Fuso orario,UTC+1
Codice ISTAT,015169
Cod. catastale,G385
Targa,MI
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 557 GG[3]"
Nome abitanti,paullesi
Patrono,santi Quirico e Giulitta
Giorno festivo,16 giugno
Cartografia,Cartografia
Paullo,Paullo
Paullo – MappaPosizione del comune di Paullo nella città metropolitana di Milano,Paullo – MappaPosizione del comune di Paullo nella città metropolitana di Milano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
