Nosate comune,Nosate comune.1
,
Nosate – VedutaL'abitato di Nosate,Nosate – VedutaL'abitato di Nosate
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Città metropolitana,Milano
Amministrazione,Amministrazione
Sindaco,Roberto Cattaneo (lista civica Nosate nuova) dal 25-5-2014 (3º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,45°33′N 8°44′E
Altitudine,177 m s.l.m.
Superficie,"4,88 km²"
Abitanti,641[1] (30-11-2025)
Densità,"131,35 ab./km²"
Comuni confinanti,"Bellinzago Novarese (NO), Cameri (NO), Castano Primo, Lonate Pozzolo (VA)"
Altre informazioni,Altre informazioni
Cod. postale,20020
Prefisso,0331
Fuso orario,UTC+1
Codice ISTAT,015155
Cod. catastale,F939
Targa,MI
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 673 GG[3]"
Nome abitanti,nosatesi
Patrono,San Guniforte
Cartografia,Cartografia
Nosate,Nosate
Nosate – MappaPosizione del comune di Nosate nella città metropolitana Milano,Nosate – MappaPosizione del comune di Nosate nella città metropolitana Milano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
