Baranzate comune,Baranzate comune.1
,
Baranzate – VedutaPiazza Falcone,Baranzate – VedutaPiazza Falcone
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Città metropolitana,Milano
Amministrazione,Amministrazione
Sindaco,Luca Mario Elia (lista civica di centro-sinistra) dal 31-5-2015 (2º mandato dal 21-9-2020)
Data di istituzione,8 giugno 2004
Territorio,Territorio
Coordinate,45°31′N 9°06′E
Altitudine,144 m s.l.m.
Superficie,"2,78 km²"
Abitanti,12 121[1] (30-11-2025)
Densità,"4 360,07 ab./km²"
Comuni confinanti,"Bollate, Milano, Novate Milanese"
Altre informazioni,Altre informazioni
Cod. postale,20021
Prefisso,02
Fuso orario,UTC+1
Codice ISTAT,015250
Cod. catastale,A618
Targa,MI
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Nome abitanti,baranzatesi
Cartografia,Cartografia
Baranzate,Baranzate
Baranzate – MappaPosizione del comune di Baranzate all'interno della città metropolitana di Milano,Baranzate – MappaPosizione del comune di Baranzate all'interno della città metropolitana di Milano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
