Basiglio comune,Basiglio comune.1
,
Basiglio – VedutaLa chiesa di Sant'Agata,Basiglio – VedutaLa chiesa di Sant'Agata
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Città metropolitana,Milano
Amministrazione,Amministrazione
Sindaco,Annamaria Lidia Reale (Insieme!) dal 10-6-2018 (2º mandato dal 14-5-2023)
Territorio,Territorio
Coordinate,45°21′N 9°10′E
Altitudine,97 m s.l.m.
Superficie,"8,49 km²"
Abitanti,8 018[1] (30-11-2025)
Densità,"944,41 ab./km²"
Frazioni,"Cascina Colombaia, Cascina Vione, Romano Paltano (Milano 3)"
Comuni confinanti,"Lacchiarella, Pieve Emanuele, Rozzano, Zibido San Giacomo"
Altre informazioni,Altre informazioni
Cod. postale,20079
Prefisso,02
Fuso orario,UTC+1
Codice ISTAT,015015
Cod. catastale,A699
Targa,MI
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 479 GG[3]"
Nome abitanti,basigliesi
Patrono,sant'Agata
Cartografia,Cartografia
Basiglio,Basiglio
Basiglio – MappaPosizione del comune di Basiglio nella città metropolitana di Milano,Basiglio – MappaPosizione del comune di Basiglio nella città metropolitana di Milano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
