Rodano comune,Rodano comune.1
,
Rodano – Veduta,Rodano – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Città metropolitana,Milano
Amministrazione,Amministrazione
Sindaco,Rodolfo Corazzo (Lista civica Rodano per te) dal 9-06-2024
Territorio,Territorio
Coordinate,45°29′N 9°21′E
Altitudine,120 m s.l.m.
Superficie,"13,07 km²"
Abitanti,4 722[1] (30-11-2025)
Densità,"361,29 ab./km²"
Frazioni,"Briavacca, Cassignanica, Lucino, Pobbiano, Brianzate, Trenzanesio, Millepini"
Comuni confinanti,"Cernusco sul Naviglio, Pantigliate, Peschiera Borromeo, Pioltello, Settala, Vignate"
Altre informazioni,Altre informazioni
Cod. postale,20053
Prefisso,02
Fuso orario,UTC+1
Codice ISTAT,015185
Cod. catastale,H470
Targa,MI
Cl. sismica,zona 2A (sismicità media)[2]
Cl. climatica,"zona E, 2 557 GG[3]"
Nome abitanti,Rodanesi
Giorno festivo,"Fondazione del comune: 21 giugno. Cassignanica: II domenica settembre, Lucino: I domenica settembre, ultima domenica maggio"
Cartografia,Cartografia
Rodano,Rodano
Rodano – MappaPosizione del comune di Rodano nella città metropolitana di Milano,Rodano – MappaPosizione del comune di Rodano nella città metropolitana di Milano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
