Corbetta comune,Corbetta comune.1
,
Corbetta – Veduta,Corbetta – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Città metropolitana,Milano
Amministrazione,Amministrazione
Sindaco,Marco Ballarini (lista civica Viviamo Corbetta) dal 19-6-2016 (2º mandato dal 4-10-2021)
Territorio,Territorio
Coordinate,45°28′N 8°55′E
Altitudine,140 m s.l.m.
Superficie,"18,69 km²"
Abitanti,19 157[1] (30-11-2025)
Densità,"1 024,99 ab./km²"
Frazioni,"Battuello, Castellazzo de' Stampi, Cerello, Soriano Località: Isola Bellaria, Pobbia, Preloreto, Malpaga"
Comuni confinanti,"Albairate, Arluno, Cassinetta di Lugagnano, Cisliano, Magenta, Robecco sul Naviglio, Santo Stefano Ticino, Vittuone"
Altre informazioni,Altre informazioni
Cod. postale,20011
Prefisso,02
Fuso orario,UTC+1
Codice ISTAT,015085
Cod. catastale,C986
Targa,MI
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 563 GG[3]"
Nome abitanti,corbettesi[4]
Patrono,san Vittore
Giorno festivo,8 maggio
Cartografia,Cartografia
Corbetta,Corbetta
Corbetta – MappaPosizione del comune di Corbetta nella città metropolitana di Milano,Corbetta – MappaPosizione del comune di Corbetta nella città metropolitana di Milano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
