Colturano comune,Colturano comune.1
,
Colturano – Veduta,Colturano – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Città metropolitana,Milano
Amministrazione,Amministrazione
Sindaco,Giulio Enrico Maria Guala (lista civica) dal 27-5-2019 (2º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,45°23′N 9°20′E
Altitudine,90 m s.l.m.
Superficie,"4,16 km²"
Abitanti,2 053[1] (30-11-2025)
Densità,"493,51 ab./km²"
Frazioni,Balbiano
Comuni confinanti,"Dresano, Mediglia, Melegnano, San Giuliano Milanese, Tribiano, Vizzolo Predabissi"
Altre informazioni,Altre informazioni
Cod. postale,20075
Prefisso,02
Fuso orario,UTC+1
Codice ISTAT,015082
Cod. catastale,C908
Targa,MI
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 404 GG[3]"
Nome abitanti,colturanesi
Cartografia,Cartografia
Colturano,Colturano
Colturano – MappaPosizione del comune di Colturano nella città metropolitana di Milano,Colturano – MappaPosizione del comune di Colturano nella città metropolitana di Milano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
