Pieve Emanuele comune,Pieve Emanuele comune.1
,
Pieve Emanuele – VedutaChiesa Parrocchiale,Pieve Emanuele – VedutaChiesa Parrocchiale
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Città metropolitana,Milano
Amministrazione,Amministrazione
Sindaco,Pierluigi Costanzo (lista civica) dal 12-6-2022
Territorio,Territorio
Coordinate,45°21′N 9°12′E
Altitudine,97 m s.l.m.
Superficie,"12,91 km²"
Abitanti,15 902[1] (30-11-2025)
Densità,"1 231,76 ab./km²"
Frazioni,"Fizzonasco, Pizzabrasa, Tolcinasco"
Comuni confinanti,"Basiglio, Lacchiarella, Locate di Triulzi, Opera, Rozzano, Siziano (PV)"
Altre informazioni,Altre informazioni
Cod. postale,20072
Prefisso,02
Fuso orario,UTC+1
Codice ISTAT,015173
Cod. catastale,G634
Targa,MI
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 404 GG[3]"
Nome abitanti,pievesi
Patrono,Sant'Alessandro di Bergamo
Cartografia,Cartografia
Pieve Emanuele,Pieve Emanuele
Pieve Emanuele – MappaPosizione del comune di Pieve Emanuele nella città metropolitana di Milano,Pieve Emanuele – MappaPosizione del comune di Pieve Emanuele nella città metropolitana di Milano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
