Vermezzo con Zelo comune,Vermezzo con Zelo comune.1
,
Vermezzo con Zelo – VedutaVia Ponti Carmine,Vermezzo con Zelo – VedutaVia Ponti Carmine
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Città metropolitana,Milano
Amministrazione,Amministrazione
Sindaco,Ada Rattaro (lista civica SiAmo Vermezzo con Zelo) dal 9-6-2024
Data di istituzione,8 febbraio 2019
Territorio,Territorio
Coordinate,45°23′33.81″N 8°58′55.24″E
Altitudine,119 m s.l.m.
Superficie,"10,74 km²"
Abitanti,5 988[1] (30-11-2025)
Densità,"557,54 ab./km²"
Frazioni,"Cascina Grande, Cascina Maiocchi, Ravello, Zelo Surrigone"
Comuni confinanti,"Abbiategrasso, Albairate, Gaggiano, Gudo Visconti, Morimondo"
Altre informazioni,Altre informazioni
Cod. postale,20071
Prefisso,02
Fuso orario,UTC+1
Codice ISTAT,015251
Cod. catastale,M424
Targa,MI
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cartografia,Cartografia
Vermezzo con Zelo,Vermezzo con Zelo
Vermezzo con Zelo – MappaPosizione del comune di Vermezzo con Zelo all'interno della città metropolitana di Milano,Vermezzo con Zelo – MappaPosizione del comune di Vermezzo con Zelo all'interno della città metropolitana di Milano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
