Gudo Visconti comune,Gudo Visconti comune.1
,
Gudo Visconti – VedutaPiazza Vittorio Veneto,Gudo Visconti – VedutaPiazza Vittorio Veneto
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Città metropolitana,Milano
Amministrazione,Amministrazione
Sindaco,Nunzio Omar Cirulli (lista civica 5 punti per Gudo) dal 26-5-2014 (3º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,45°22′55.91″N 8°59′28.67″E
Altitudine,111 m s.l.m.
Superficie,"6,1 km²"
Abitanti,1 602[1] (30-11-2025)
Densità,"262,62 ab./km²"
Frazioni,"Cascina Lucina, Cuscina Nuova, Gudetto"
Comuni confinanti,"Gaggiano, Morimondo, Rosate, Vermezzo con Zelo"
Altre informazioni,Altre informazioni
Cod. postale,20088
Prefisso,02
Fuso orario,UTC+1
Codice ISTAT,015112
Cod. catastale,E258
Targa,MI
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 435 GG[3]"
Nome abitanti,gudesi
Cartografia,Cartografia
Gudo Visconti,Gudo Visconti
Gudo Visconti – MappaPosizione del comune di Gudo Visconti nella città metropolitana di Milano,Gudo Visconti – MappaPosizione del comune di Gudo Visconti nella città metropolitana di Milano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
