Vernate comune,Vernate comune.1
,
Vernate – VedutaSanta Maria Nascente (1930),Vernate – VedutaSanta Maria Nascente (1930)
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Città metropolitana,Milano
Amministrazione,Amministrazione
Sindaco,Carmela Manduca (detta Carmen) (lista civica) dal 13-6-2022
Territorio,Territorio
Coordinate,45°19′N 9°04′E
Altitudine,108 m s.l.m.
Superficie,"14,65 km²"
Abitanti,3 433[1] (30-11-2025)
Densità,"234,33 ab./km²"
Frazioni,"Bellaria Nuova, Bellaria Vecchia, Cascina ca' Granda nuova, Cascina Mogna, Coazzano, Merlate, Moncucco, Pasturago, San Giuseppe"
Comuni confinanti,"Binasco, Calvignasco, Casarile, Casorate Primo (PV), Noviglio, Rognano (PV), Rosate, Trovo (PV)"
Altre informazioni,Altre informazioni
Cod. postale,20080
Prefisso,02
Fuso orario,UTC+1
Codice ISTAT,015236
Cod. catastale,L773
Targa,MI
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 623 GG[3]"
Nome abitanti,vernatesi
Patrono,sant'Eufemia
Cartografia,Cartografia
Vernate,Vernate
Vernate – MappaPosizione del comune di Vernate nella città metropolitana di Milano,Vernate – MappaPosizione del comune di Vernate nella città metropolitana di Milano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
