Tribiano comune,Tribiano comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Città metropolitana,Milano
Amministrazione,Amministrazione
Sindaco,Roberto Gabriele (Insieme per Tribiano) dal 26-5-2019 (2º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,45°25′N 9°23′E
Altitudine,93 m s.l.m.
Superficie,7 km²
Abitanti,3 933[1] (30-11-2025)
Densità,"561,86 ab./km²"
Frazioni,"Lanzano, San Barbaziano, Zoate"
Comuni confinanti,"Colturano, Dresano, Mediglia, Mulazzano (LO), Paullo"
Altre informazioni,Altre informazioni
Cod. postale,20067
Prefisso,02
Fuso orario,UTC+1
Codice ISTAT,015222
Cod. catastale,L415
Targa,MI
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 557 GG[3]"
Nome abitanti,tribianesi
Patrono,"santi Vito, Modesto e Crescenzia"
Cartografia,Cartografia
Tribiano,Tribiano
Tribiano – MappaPosizione del comune di Tribiano nella città metropolitana di Milano,Tribiano – MappaPosizione del comune di Tribiano nella città metropolitana di Milano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
