Buccinasco comune,Buccinasco comune.1
,
"Buccinasco – VedutaChiesetta della Beata Vergine Assunta, frazione Castello","Buccinasco – VedutaChiesetta della Beata Vergine Assunta, frazione Castello"
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Città metropolitana,Milano
Amministrazione,Amministrazione
Sindaco,Rino Carmelo Vincenzo Pruiti (centro-sinistra) dal 12-6-2017 (2º mandato dal 13-6-2022)
Territorio,Territorio
Coordinate,45°25′N 9°07′E
Altitudine,113 m s.l.m.
Superficie,12 km²
Abitanti,26 380[1] (30-11-2025)
Densità,"2 198,33 ab./km²"
Frazioni,"Buccinasco Castello, Gudo Gambaredo, Romano Banco, Rovido, Grancino"
Comuni confinanti,"Assago, Corsico, Milano, Trezzano sul Naviglio, Zibido San Giacomo"
Altre informazioni,Altre informazioni
Cod. postale,20090
Prefisso,02
Fuso orario,UTC+1
Codice ISTAT,015036
Cod. catastale,B240
Targa,MI
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 404 GG[3]"
Nome abitanti,buccinaschesi
Patrono,San Gervaso
Giorno festivo,7 dicembre (Sant'Ambrogio)
Cartografia,Cartografia
Buccinasco,Buccinasco
Buccinasco – MappaPosizione del comune di Buccinasco all'interno della città metropolitana di Milano,Buccinasco – MappaPosizione del comune di Buccinasco all'interno della città metropolitana di Milano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
