Sesto San Giovanni comune,Sesto San Giovanni comune.1
(dettagli),(dettagli)
Sesto San Giovanni – VedutaPiazza Luigi Petazzi,Sesto San Giovanni – VedutaPiazza Luigi Petazzi
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Città metropolitana,Milano
Amministrazione,Amministrazione
Sindaco,Roberto Di Stefano (Lega per Salvini premier) dal 27-6-2017 (2º mandato dal 27-6-2022)
Territorio,Territorio
Coordinate,45°32′N 9°14′E
Altitudine,140 m s.l.m.
Superficie,"11,7 km²"
Abitanti,78 912[1] (30-11-2025)
Densità,"6 744,62 ab./km²"
Frazioni,"Rondò, Torretta, Rondinella, Baraggia, Restellone, Isola del Bosco, Delle Corti, Pelucca, Villaggio Falck, Dei Parchi, Cassina de' Gatti, Parpagliona"
Comuni confinanti,"Bresso, Brugherio (MB), Cinisello Balsamo, Cologno Monzese, Milano, Monza (MB)"
Altre informazioni,Altre informazioni
Cod. postale,20099
Prefisso,02
Fuso orario,UTC+1
Codice ISTAT,015209
Cod. catastale,I690
Targa,MI
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 404 GG[3]"
Nome abitanti,sestesi
Patrono,san Giovanni Battista[4]
Giorno festivo,24 giugno
Soprannome,Stalingrado d'Italia
Cartografia,Cartografia
Sesto San Giovanni,Sesto San Giovanni
Sesto San Giovanni – MappaPosizione del comune di Sesto San Giovanni all'interno della città metropolitana di Milano,Sesto San Giovanni – MappaPosizione del comune di Sesto San Giovanni all'interno della città metropolitana di Milano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
