Buscate comune,Buscate comune.1
,
Buscate – Veduta,Buscate – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Città metropolitana,Milano
Amministrazione,Amministrazione
Sindaco,Fabio Merlotti (lista civica UniAmo Buscate) dal 6-6-2016 (2º mandato dal 4-10-2021)
Territorio,Territorio
Coordinate,45°33′N 8°49′E
Altitudine,176 m s.l.m.
Superficie,"7,83 km²"
Abitanti,4 690[1] (30-11-2025)
Densità,"598,98 ab./km²"
Comuni confinanti,"Arconate, Castano Primo, Cuggiono, Dairago, Inveruno, Magnago"
Altre informazioni,Altre informazioni
Cod. postale,20010
Prefisso,0331
Fuso orario,UTC+1
Codice ISTAT,015038
Cod. catastale,B286
Targa,MI
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 470 GG[3]"
Nome abitanti,buscatesi
Patrono,san Mauro
Giorno festivo,15 gennaio
Cartografia,Cartografia
Buscate,Buscate
Buscate – MappaPosizione del comune di Buscate nella città metropolitana di Milano,Buscate – MappaPosizione del comune di Buscate nella città metropolitana di Milano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
