Nerviano comune,Nerviano comune.1
,
"Nerviano – VedutaScorcio dell'Olona accanto al municipio, che ha sede nel restaurato Monastero degli Olivetani.","Nerviano – VedutaScorcio dell'Olona accanto al municipio, che ha sede nel restaurato Monastero degli Olivetani."
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Città metropolitana,Milano
Amministrazione,Amministrazione
Sindaco,Daniela Colombo (liste civiche) dal 22-10-2021
Territorio,Territorio
Coordinate,45°33′N 8°59′E
Altitudine,175 m s.l.m.
Superficie,"13,26 km²"
Abitanti,17 077[1] (30-11-2025)
Densità,"1 287,86 ab./km²"
Frazioni,"Cantone, Garbatola, Sant'Ilario, Villanova, Costa San Lorenzo"
Comuni confinanti,"Arluno, Cerro Maggiore, Lainate, Origgio (VA), Parabiago, Pogliano Milanese"
Altre informazioni,Altre informazioni
Cod. postale,20014
Prefisso,0331
Fuso orario,UTC+1
Codice ISTAT,015154
Cod. catastale,F874
Targa,MI
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 545 GG[3]"
Nome abitanti,nervianesi
Patrono,san Fermo
Giorno festivo,9 agosto
Cartografia,Cartografia
Nerviano,Nerviano
Nerviano – MappaPosizione del comune di Nerviano nella città metropolitana di Milano,Nerviano – MappaPosizione del comune di Nerviano nella città metropolitana di Milano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
