Càstano Primo comune,Càstano Primo comune.1
,
Càstano Primo – Veduta,Càstano Primo – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Città metropolitana,Milano
Amministrazione,Amministrazione
Sindaco,Roberto Colombo (Fratelli d'Italia - Lega Nord - Forza Italia) dal 10-6-2024
Territorio,Territorio
Coordinate,45°33′N 8°46′E
Altitudine,182 m s.l.m.
Superficie,"19,17 km²"
Abitanti,10 913[1] (30-11-2025)
Densità,"569,27 ab./km²"
Comuni confinanti,"Buscate, Cameri (NO), Cuggiono, Lonate Pozzolo (VA), Magnago, Nosate, Robecchetto con Induno, Turbigo, Vanzaghello"
Altre informazioni,Altre informazioni
Cod. postale,20022
Prefisso,0331
Fuso orario,UTC+1
Codice ISTAT,015062
Cod. catastale,C052
Targa,MI
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 634 GG[3]"
Nome abitanti,castanesi
Patrono,san Zenone
Giorno festivo,ultima domenica di ottobre
Cartografia,Cartografia
Càstano Primo,Càstano Primo
Càstano Primo – MappaPosizione del comune di Castano Primo nella città metropolitana di Milano,Càstano Primo – MappaPosizione del comune di Castano Primo nella città metropolitana di Milano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
