Albairate comune,Albairate comune.1
,
Albairate – VedutaLa chiesa parrocchiale di San Giorgio di Albairate,Albairate – VedutaLa chiesa parrocchiale di San Giorgio di Albairate
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Città metropolitana,Milano
Amministrazione,Amministrazione
Sindaco,Flavio Crivellin (lista civica) dal 26-5-2019 (2º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,45°25′N 8°56′E
Altitudine,124 m s.l.m.
Superficie,"14,98 km²"
Abitanti,4 717[1] (30-11-2025)
Densità,"314,89 ab./km²"
Frazioni,"Castelletto, Cascina Faustina, Cascina Marcatutto-Bruciata (Ravello), Riazzolo, Rosio"
Comuni confinanti,"Abbiategrasso, Cassinetta di Lugagnano, Cisliano, Corbetta, Gaggiano, Vermezzo con Zelo"
Altre informazioni,Altre informazioni
Cod. postale,20080
Prefisso,02
Fuso orario,UTC+1
Codice ISTAT,015005
Cod. catastale,A127
Targa,MI
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 360 GG[3]"
Nome abitanti,albairatesi
Patrono,Madonna del Rosario
Giorno festivo,prima domenica di ottobre
Cartografia,Cartografia
Albairate,Albairate
Albairate – MappaPosizione del comune di Albairate nella città metropolitana di Milano,Albairate – MappaPosizione del comune di Albairate nella città metropolitana di Milano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
