San Giuliano Milanese comune,San Giuliano Milanese comune.1
,
San Giuliano Milanese – VedutaPiazza Vittoria,San Giuliano Milanese – VedutaPiazza Vittoria
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Città metropolitana,Milano
Amministrazione,Amministrazione
Sindaco,Marco Segala (FI) dal 20-6-2016 (2º mandato dal 5-10-2021)
Territorio,Territorio
Coordinate,45°24′N 9°17′E
Altitudine,98 m s.l.m.
Superficie,"30,87 km²"
Abitanti,40 226[1] (30-11-2025)
Densità,"1 303,08 ab./km²"
Frazioni,"Borgolombardo, Carpianello, Civesio, Mezzano, Pedriano, Rancate, Santa Brera, Sesto Ulteriano, Viboldone, Videserto, Zivido"
Comuni confinanti,"Carpiano, Colturano, Locate di Triulzi, Mediglia, Melegnano, San Donato Milanese"
Altre informazioni,Altre informazioni
Cod. postale,20098
Prefisso,02
Fuso orario,UTC+1
Codice ISTAT,015195
Cod. catastale,H930
Targa,MI
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 557 GG[3]"
Nome abitanti,sangiulianesi
Patrono,San Giuliano
Cartografia,Cartografia
San Giuliano Milanese,San Giuliano Milanese
San Giuliano Milanese – MappaPosizione del comune di San Giuliano Milanese all'interno della città metropolitana di Milano,San Giuliano Milanese – MappaPosizione del comune di San Giuliano Milanese all'interno della città metropolitana di Milano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
