Rho comune,Rho comune.1
,
Rho – VedutaLa Basilica di San Vittore,Rho – VedutaLa Basilica di San Vittore
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Città metropolitana,Milano
Amministrazione,Amministrazione
Sindaco,Andrea Orlandi (PD) dal 7-10-2021
Territorio,Territorio
Coordinate,45°32′N 9°02′E
Altitudine,158 m s.l.m.
Superficie,"22,24 km²"
Abitanti,51 034[1] (30-11-2025)
Densità,"2 294,69 ab./km²"
Frazioni,"Lucernate, Mazzo, Passirana, Terrazzano, Biringhello, Castellazzo, Pantanedo[2]"
Comuni confinanti,"Arese, Cornaredo, Lainate, Milano, Pero, Pogliano Milanese, Pregnana Milanese, Settimo Milanese"
Altre informazioni,Altre informazioni
Cod. postale,20017
Prefisso,02
Fuso orario,UTC+1
Codice ISTAT,015182
Cod. catastale,H264
Targa,MI
Cl. sismica,zona 4 (sismicità molto bassa)[3]
Cl. climatica,"zona E, 2 631 GG[4]"
Nome abitanti,rhodensi
Patrono,san Vittore
Giorno festivo,8 maggio
Cartografia,Cartografia
Rho,Rho
Rho – MappaPosizione del comune di Rho all'interno della città metropolitana di Milano,Rho – MappaPosizione del comune di Rho all'interno della città metropolitana di Milano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
