Binasco comune,Binasco comune.1
,
Binasco – VedutaVeduta del centro,Binasco – VedutaVeduta del centro
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Città metropolitana,Milano
Amministrazione,Amministrazione
Sindaco,Liana Castaldo (lista civica Binasco più) dal 12-6-2022
Territorio,Territorio
Coordinate,45°20′N 9°06′E
Altitudine,101 m s.l.m.
Superficie,"3,87 km²"
Abitanti,7 069[1] (30-11-2025)
Densità,"1 826,61 ab./km²"
Comuni confinanti,"Casarile, Lacchiarella, Noviglio, Vernate, Zibido San Giacomo"
Altre informazioni,Altre informazioni
Cod. postale,20082
Prefisso,02
Fuso orario,UTC+1
Codice ISTAT,015024
Cod. catastale,A872
Targa,MI
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 514 GG[3]"
Nome abitanti,binaschini
Patrono,beata Veronica Negroni
Cartografia,Cartografia
Binasco,Binasco
Binasco – MappaPosizione del comune di Binasco nella città metropolitana di Milano,Binasco – MappaPosizione del comune di Binasco nella città metropolitana di Milano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
