Grezzago comune,Grezzago comune.1
,
Grezzago – VedutaLa chiesa di San Martino,Grezzago – VedutaLa chiesa di San Martino
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Città metropolitana,Milano
Amministrazione,Amministrazione
Sindaco,Natale Pulici (lista civica Uniti per Grezzago) dal 12-6-2022
Territorio,Territorio
Coordinate,45°35′28″N 9°29′42″E
Altitudine,178 m s.l.m.
Superficie,"2,46 km²"
Abitanti,3 171[1] (30-11-2025)
Densità,"1 289,02 ab./km²"
Comuni confinanti,"Busnago (MB), Pozzo d'Adda, Trezzano Rosa, Trezzo sull'Adda, Vaprio d'Adda"
Altre informazioni,Altre informazioni
Cod. postale,20056
Prefisso,02
Fuso orario,UTC+1
Codice ISTAT,015110
Cod. catastale,E170
Targa,MI
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 471 GG[3]"
Nome abitanti,grezzaghesi
Patrono,san Martino
Cartografia,Cartografia
Grezzago,Grezzago
Grezzago – MappaPosizione del comune di Grezzago nella città metropolitana di Milano,Grezzago – MappaPosizione del comune di Grezzago nella città metropolitana di Milano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
