Zibido San Giacomo comune,Zibido San Giacomo comune.1
,
Zibido San Giacomo – Veduta,Zibido San Giacomo – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Città metropolitana,Milano
Amministrazione,Amministrazione
Sindaco,Sonia Margherita Belloli (lista civica Noi cittadini) dal 10-6-2018 (2º mandato dal 14-5-2023)
Territorio,Territorio
Coordinate,45°22′N 9°07′E
Altitudine,111 m s.l.m.
Superficie,"24,58 km²"
Abitanti,6 645[1] (30-11-2025)
Densità,"270,34 ab./km²"
Frazioni,"San Giacomo, Zibido, Moirago, San Pietro Cusico, San Novo, Badile"
Comuni confinanti,"Assago, Basiglio, Binasco, Buccinasco, Gaggiano, Lacchiarella, Noviglio, Rozzano, Trezzano sul Naviglio"
Altre informazioni,Altre informazioni
Cod. postale,20058
Prefisso,02
Fuso orario,UTC+1
Codice ISTAT,015247
Cod. catastale,M176
Targa,MI
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 514 GG[3]"
Nome abitanti,zibidesi
Patrono,san Giacomo il Maggiore
Giorno festivo,25 luglio
Cartografia,Cartografia
Zibido San Giacomo,Zibido San Giacomo
Zibido San Giacomo – MappaPosizione del comune di Zibido San Giacomo nella città metropolitana di Milano,Zibido San Giacomo – MappaPosizione del comune di Zibido San Giacomo nella città metropolitana di Milano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
