Trezzano sul Naviglio comune,Trezzano sul Naviglio comune.1
,
Trezzano sul Naviglio – VedutaPanorama di Trezzano sul Naviglio con il Naviglio Grande,Trezzano sul Naviglio – VedutaPanorama di Trezzano sul Naviglio con il Naviglio Grande
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Città metropolitana,Milano
Amministrazione,Amministrazione
Sindaco,Giuseppe Luigi Morandi (FdI) dal 25-06-2024
Territorio,Territorio
Coordinate,45°26′N 9°04′E
Altitudine,116 m s.l.m.
Superficie,"10,77 km²"
Abitanti,21 865[1] (30-11-2025)
Densità,"2 030,18 ab./km²"
Frazioni,"Loirano, Terzago"
Comuni confinanti,"Buccinasco, Cesano Boscone, Corsico, Cusago, Gaggiano, Milano, Zibido San Giacomo"
Altre informazioni,Altre informazioni
Cod. postale,20090
Prefisso,02
Fuso orario,UTC+1
Codice ISTAT,015220
Cod. catastale,L409
Targa,MI
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 404 GG[3]"
Nome abitanti,trezzanesi
Patrono,sant'Ambrogio
Giorno festivo,7 dicembre
Cartografia,Cartografia
Trezzano sul Naviglio,Trezzano sul Naviglio
Trezzano sul Naviglio – MappaPosizione del comune di Trezzano sul Naviglio nella città metropolitana di Milano,Trezzano sul Naviglio – MappaPosizione del comune di Trezzano sul Naviglio nella città metropolitana di Milano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
