Morimondo comune,Morimondo comune.1
,
Morimondo – VedutaL'Abbazia di Morimondo,Morimondo – VedutaL'Abbazia di Morimondo
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Città metropolitana,Milano
Amministrazione,Amministrazione
Sindaco,Marco Andrea Iamoni (lista civica Progetti in comune) dal 9-6-2024
Territorio,Territorio
Coordinate,45°21′N 8°57′E
Altitudine,109 m s.l.m.
Superficie,26 km²
Abitanti,1 015[1] (30-11-2025)
Densità,"39,04 ab./km²"
Frazioni,"Basiano, Campagna, Cascina Cipriani, Cerina di Mezzo, Cerina di Sopra, Cerina di Sotto, Caselle, Conca, Coronate, Fallavecchia, Fiorentina, Fornace, Lasso, Molino dell'Ospitale, Perdono, Prato Ronco, Sega, Ticinello"
Comuni confinanti,"Abbiategrasso, Besate, Bubbiano, Casorate Primo (PV), Gudo Visconti, Ozzero, Rosate, Vermezzo con Zelo, Vigevano (PV)"
Altre informazioni,Altre informazioni
Cod. postale,20081
Prefisso,02
Fuso orario,UTC+1
Codice ISTAT,015150
Cod. catastale,D033
Targa,MI
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 435 GG[3]"
Nome abitanti,morimondesi
Patrono,Bernardo di Chiaravalle
Giorno festivo,lunedì successivo a ultima domenica agosto
Cartografia,Cartografia
Morimondo,Morimondo
Morimondo – MappaPosizione del comune di Morimondo nella città metropolitana di Milano,Morimondo – MappaPosizione del comune di Morimondo nella città metropolitana di Milano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
