Cerro al Lambro comune,Cerro al Lambro comune.1
,
"Cerro al Lambro – VedutaPalazzo Annoni Cicogna Mozzoni, sede dell'amministrazione comunale","Cerro al Lambro – VedutaPalazzo Annoni Cicogna Mozzoni, sede dell'amministrazione comunale"
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Città metropolitana,Milano
Amministrazione,Amministrazione
Sindaco,Gianluca di Cesare (lista civica Insieme per Cerro) dal 04-10-2021
Territorio,Territorio
Coordinate,45°19′48.1″N 9°20′18.81″E
Altitudine,84 m s.l.m.
Superficie,"10,1556[1] km²"
Abitanti,5 230[2] (30-11-2025)
Densità,"514,99 ab./km²"
Frazioni,Riozzo
Comuni confinanti,"Bascapè (PV), Carpiano, Casaletto Lodigiano (LO), Melegnano, San Zenone al Lambro, Vizzolo Predabissi"
Altre informazioni,Altre informazioni
Cod. postale,20070
Prefisso,02
Fuso orario,UTC+1
Codice ISTAT,015071
Cod. catastale,C536
Targa,MI
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 514 GG[4]"
Nome abitanti,cerresi
Patrono,santi Giacomo e Cristoforo
Giorno festivo,prima domenica di ottobre
Cartografia,Cartografia
Cerro al Lambro,Cerro al Lambro
Cerro al Lambro – MappaPosizione del comune di Cerro al Lambro nella città metropolitana di Milano,Cerro al Lambro – MappaPosizione del comune di Cerro al Lambro nella città metropolitana di Milano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
