Arluno comune,Arluno comune.1
,
Arluno – Veduta,Arluno – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Città metropolitana,Milano
Amministrazione,Amministrazione
Sindaco,Alfio Colombo (lista civica Insieme per Arluno) dal 10-6-2024
Territorio,Territorio
Coordinate,45°30′N 8°56′E
Altitudine,156 m s.l.m.
Superficie,"12,36 km²"
Abitanti,12 629[1] (30-11-2025)
Densità,"1 021,76 ab./km²"
Frazioni,"Poglianasca, Rogorotto"
Comuni confinanti,"Casorezzo, Corbetta, Nerviano, Ossona, Parabiago, Pogliano Milanese, Santo Stefano Ticino, Sedriano, Vanzago, Vittuone"
Altre informazioni,Altre informazioni
Cod. postale,20010 e 20004
Prefisso,02
Fuso orario,UTC+1
Codice ISTAT,015010
Cod. catastale,A413
Targa,MI
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 563 GG[3]"
Nome abitanti,arlunesi
Patrono,Pietro e Paolo
Giorno festivo,29 giugno
Cartografia,Cartografia
Arluno,Arluno
Arluno – MappaPosizione del comune di Arluno nella città metropolitana di Milano,Arluno – MappaPosizione del comune di Arluno nella città metropolitana di Milano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
