Pregnana Milanese comune,Pregnana Milanese comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Città metropolitana,Milano
Amministrazione,Amministrazione
Sindaco,"Angelo Bosani (Lista civica di centro-sinistra ""Insieme per Pregnana"") dal 13-6-2017 (2º mandato dal 14-6-2022)"
Territorio,Territorio
Coordinate,45°31′N 9°01′E
Altitudine,154 m s.l.m.
Superficie,"5,07 km²"
Abitanti,7 338[1] (30-11-2025)
Densità,"1 447,34 ab./km²"
Comuni confinanti,"Bareggio, Cornaredo, Pogliano Milanese, Rho, Sedriano, Vanzago"
Altre informazioni,Altre informazioni
Cod. postale,20006
Prefisso,02
Fuso orario,UTC+1
Codice ISTAT,015179
Cod. catastale,H026
Targa,MI
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 631 GG[3]"
Nome abitanti,pregnanesi
Patrono,santi Pietro e Paolo
Giorno festivo,29 giugno
Cartografia,Cartografia
Pregnana Milanese,Pregnana Milanese
Pregnana Milanese – MappaPosizione del comune di Pregnana Milanese all'interno della città metropolitana di Milano,Pregnana Milanese – MappaPosizione del comune di Pregnana Milanese all'interno della città metropolitana di Milano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
