Vittuone comune,Vittuone comune.1
,
Vittuone – VedutaPiazza Italia con la chiesa parrocchiale dell'Annunciazione,Vittuone – VedutaPiazza Italia con la chiesa parrocchiale dell'Annunciazione
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Città metropolitana,Milano
Amministrazione,Amministrazione
Sindaco,Laura Bonfadini (coalizione di centro-sinistra) dal 22-9-2021
Territorio,Territorio
Coordinate,45°29′N 8°57′E
Altitudine,146 m s.l.m.
Superficie,"6,13 km²"
Abitanti,9 318[1] (30-11-2025)
Densità,"1 520,07 ab./km²"
Comuni confinanti,"Arluno, Cisliano, Corbetta, Sedriano"
Altre informazioni,Altre informazioni
Cod. postale,20009
Prefisso,02
Fuso orario,UTC+1
Codice ISTAT,015243
Cod. catastale,M091
Targa,MI
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 599 GG[3]"
Nome abitanti,vittuonesi
Patrono,santa Croce
Giorno festivo,prima o seconda (se cade dopo il terzo giorno del mese) domenica di maggio
Cartografia,Cartografia
Vittuone,Vittuone
Vittuone – MappaPosizione del comune di Vittuone nella città metropolitana di Milano,Vittuone – MappaPosizione del comune di Vittuone nella città metropolitana di Milano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
