Cesate comune,Cesate comune.1
,
Cesate – VedutaIl centro storico di Cesate. Via Romanò con la chiesa parrocchiale e la Curt dal Sacrista.,Cesate – VedutaIl centro storico di Cesate. Via Romanò con la chiesa parrocchiale e la Curt dal Sacrista.
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Città metropolitana,Milano
Amministrazione,Amministrazione
Sindaco,Roberto Vumbaca (centro-destra) dal 26-5-2019 (2º mandato dal 9-6-2024)
Data di istituzione,1815
Territorio,Territorio
Coordinate,45°36′N 9°05′E
Altitudine,192 m s.l.m.
Superficie,"5,77 km²"
Abitanti,14 386[1] (30-11-2025)
Densità,"2 493,24 ab./km²"
Frazioni,nessuna
Comuni confinanti,"Caronno Pertusella (VA), Garbagnate Milanese, Limbiate (MB), Senago, Solaro"
Altre informazioni,Altre informazioni
Cod. postale,20031
Prefisso,02
Fuso orario,UTC+1
Codice ISTAT,015076
Cod. catastale,C569
Targa,MI
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 421 GG[3]"
Nome abitanti,cesatesi
Patrono,Sant'Alessandro martire
Giorno festivo,26 agosto
Cartografia,Cartografia
Cesate,Cesate
Cesate – MappaPosizione del comune di Cesate nella città metropolitana di Milano,Cesate – MappaPosizione del comune di Cesate nella città metropolitana di Milano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
