Pozzo d'Adda comune,Pozzo d'Adda comune.1
,
Pozzo d'Adda – Veduta,Pozzo d'Adda – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Città metropolitana,Milano
Amministrazione,Amministrazione
Sindaco,Andrea Villa (lista civica) dal 4-10-2021
Territorio,Territorio
Coordinate,45°34′33.78″N 9°30′03.78″E
Altitudine,164 m s.l.m.
Superficie,"4,16 km²"
Abitanti,6 867[1] (30-11-2025)
Densità,"1 650,72 ab./km²"
Frazioni,"Bettola, Cascina Cavallasco"
Comuni confinanti,"Basiano, Cassano d'Adda, Grezzago, Inzago, Masate, Trezzano Rosa, Vaprio d'Adda"
Altre informazioni,Altre informazioni
Cod. postale,20060
Prefisso,02
Fuso orario,UTC+1
Codice ISTAT,015177
Cod. catastale,G955
Targa,MI
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 416 GG[3]"
Nome abitanti,pozzesi
Patrono,sant'Antonio abate
Giorno festivo,17 gennaio
Cartografia,Cartografia
Pozzo d'Adda,Pozzo d'Adda
Pozzo d'Adda – MappaPosizione del comune di Pozzo d'Adda nella città metropolitana di Milano,Pozzo d'Adda – MappaPosizione del comune di Pozzo d'Adda nella città metropolitana di Milano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
