Gaggiano comune,Gaggiano comune.1
,
Gaggiano – VedutaChiesa di Sant'Invenzio e la Torretta,Gaggiano – VedutaChiesa di Sant'Invenzio e la Torretta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Città metropolitana,Milano
Amministrazione,Amministrazione
Sindaco,Enrico Baj (Vivi Gaggiano) dal 9-6-2024
Territorio,Territorio
Coordinate,45°24′17.42″N 9°02′05.57″E
Altitudine,117 m s.l.m.
Superficie,"26,26 km²"
Abitanti,9 547[1] (30-11-2025)
Densità,"363,56 ab./km²"
Frazioni,"Barate, Bonirola, Cassina di Donato del Conte, Fagnano, San Vito, Vigano"
Comuni confinanti,"Albairate, Cisliano, Cusago, Gudo Visconti, Noviglio, Rosate, Trezzano sul Naviglio, Vermezzo con Zelo, Zibido San Giacomo"
Altre informazioni,Altre informazioni
Cod. postale,20083
Prefisso,02
Fuso orario,UTC+1
Codice ISTAT,015103
Cod. catastale,D845
Targa,MI
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 404 GG[3]"
Nome abitanti,gaggianesi
Patrono,Sant'Invenzio
Giorno festivo,prima domenica di ottobre
Cartografia,Cartografia
Gaggiano,Gaggiano
Gaggiano – MappaPosizione del comune di Gaggiano nella città Metropolitana di Milano,Gaggiano – MappaPosizione del comune di Gaggiano nella città Metropolitana di Milano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
