Ossona comune,Ossona comune.1
,
Ossona – VedutaLa chiesa parrocchiale di San Cristoforo,Ossona – VedutaLa chiesa parrocchiale di San Cristoforo
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Città metropolitana,Milano
Amministrazione,Amministrazione
Sindaco,Giovanni Venegoni (lista civica Uniti per Ossona) dal 9-6-2024
Territorio,Territorio
Coordinate,45°30′N 8°54′E
Altitudine,156 m s.l.m.
Superficie,"5,98 km²"
Abitanti,4 435[1] (30-11-2025)
Densità,"741,64 ab./km²"
Frazioni,Asmonte
Comuni confinanti,"Arluno, Casorezzo, Inveruno, Marcallo con Casone, Mesero, Santo Stefano Ticino"
Altre informazioni,Altre informazioni
Cod. postale,20010 e 20002
Prefisso,02
Fuso orario,UTC+1
Codice ISTAT,015164
Cod. catastale,G181
Targa,MI
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 656 GG[3]"
Nome abitanti,ossonesi
Patrono,san Cristoforo
Giorno festivo,"25 luglio festa patronale di san Cristoforo, 24 agosto fiera agricola di san Bartolomeo"
Cartografia,Cartografia
Ossona,Ossona
Ossona – MappaPosizione del comune di Ossona nella città metropolitana di Milano,Ossona – MappaPosizione del comune di Ossona nella città metropolitana di Milano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
