Settimo Milanese comune,Settimo Milanese comune.1
,
Settimo Milanese – VedutaSeguro e Settimo Milanese visti da sud,Settimo Milanese – VedutaSeguro e Settimo Milanese visti da sud
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Città metropolitana,Milano
Amministrazione,Amministrazione
Sindaco,Fabio Rubagotti (PD) dal 24-6-2024
Territorio,Territorio
Coordinate,45°29′N 9°03′E
Altitudine,134 m s.l.m.
Superficie,"10,72 km²"
Abitanti,20 008[1] (30-11-2025)
Densità,"1 866,42 ab./km²"
Frazioni,"Seguro, Vighignolo, Villaggio Cavour[2]"
Comuni confinanti,"Cornaredo, Cusago, Milano, Rho"
Altre informazioni,Altre informazioni
Cod. postale,20019
Prefisso,02
Fuso orario,UTC+1
Codice ISTAT,015211
Cod. catastale,I700
Targa,MI
Cl. sismica,zona 4 (sismicità molto bassa)[3]
Cl. climatica,"zona E, 2 549 GG[4]"
Nome abitanti,settimini
Patrono,sant'Ambrogio
Giorno festivo,7 dicembre
Cartografia,Cartografia
Settimo Milanese,Settimo Milanese
Settimo Milanese – MappaPosizione del comune di Settimo Milanese nella città metropolitana di Milano,Settimo Milanese – MappaPosizione del comune di Settimo Milanese nella città metropolitana di Milano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
