Cuggiono comune,Cuggiono comune.1
,
Cuggiono – VedutaPanorama del centro storico di Cuggiono,Cuggiono – VedutaPanorama del centro storico di Cuggiono
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Città metropolitana,Milano
Amministrazione,Amministrazione
Sindaco,Giovanni Cucchetti (lista civica di centro-sinistra Cuggiono democratica) dal 22-9-2020
Territorio,Territorio
Coordinate,45°30′N 8°49′E
Altitudine,157 m s.l.m.
Superficie,"14,93 km²"
Abitanti,8 197[1] (30-11-2025)
Densità,"549,03 ab./km²"
Frazioni,Castelletto
Comuni confinanti,"Bernate Ticino, Buscate, Castano Primo, Galliate (NO), Inveruno, Mesero, Robecchetto con Induno"
Altre informazioni,Altre informazioni
Cod. postale,20012
Prefisso,02
Fuso orario,UTC+1
Codice ISTAT,015096
Cod. catastale,D198
Targa,MI
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 617 GG[3]"
Nome abitanti,cuggionesi
Patrono,Madonna del Carmine e San Giorgio
Giorno festivo,Primo lunedì dopo la ricorrenza della Madonna del Carmine
Cartografia,Cartografia
Cuggiono,Cuggiono
Cuggiono – MappaPosizione del comune di Cuggiono nella città metropolitana di Milano,Cuggiono – MappaPosizione del comune di Cuggiono nella città metropolitana di Milano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
