Garbagnate Milanese comune,Garbagnate Milanese comune.1
,
"Garbagnate Milanese – VedutaPiazza della Croce, nel centro città.","Garbagnate Milanese – VedutaPiazza della Croce, nel centro città."
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Città metropolitana,Milano
Amministrazione,Amministrazione
Sindaco,Davide Barletta (Lega Nord - Lista Bucci) dal 26-6-2017 (2º mandato dal 13-6-2022)
Territorio,Territorio
Coordinate,45°34′37.67″N 9°04′53.04″E
Altitudine,177 m s.l.m.
Superficie,9 km²
Abitanti,27 072[1] (30-11-2025)
Densità,3 008 ab./km²
Frazioni,"Bariana, Cascina Biscia, Santa Maria Rossa"
Comuni confinanti,"Arese, Bollate, Caronno Pertusella (VA), Cesate, Lainate, Senago"
Altre informazioni,Altre informazioni
Cod. postale,20024
Prefisso,02
Fuso orario,UTC+1
Codice ISTAT,015105
Cod. catastale,D912
Targa,MI
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 449 GG[3]"
Nome abitanti,garbagnatesi
Patrono,Santi Eusebio e Maccabei
Cartografia,Cartografia
Garbagnate Milanese,Garbagnate Milanese
Garbagnate Milanese – MappaPosizione del comune di Garbagnate Milanese all'interno della città metropolitana di Milano,Garbagnate Milanese – MappaPosizione del comune di Garbagnate Milanese all'interno della città metropolitana di Milano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
